Word;DocNumber;TF-IDF
THE;'00385 ';4.93
THE;'00386 ';2.51
THE;'00387 ';3.51
THE;'00388 ';3.78
THE;'00389 ';3.78
THE;'00391 ';4.1
THE;'00392 ';3.26
THE;'00393 ';3.51
THE;'00394 ';4.47
THE;'00395 ';3.05
THE;'00396 ';5.52
THE;'00397 ';2.21
THE;'00398 ';4.1
THE;'00399 ';5.52
THE;'00400 ';2.67
THE;'00401 ';2.85
THE;'00402 ';4.47
THE;'00403 ';5.52
THE;'00404 ';3.26
THE;'00405 ';2.67
THE;'00406 ';4.1
THE;'00407 ';4.1
THE;'00408 ';4.93
THE;'00409 ';4.47
THE;'00410 ';2.67
THE;'00411 ';1.84
THE;'00412 ';3.78
THE;'00413 ';4.1
THE;'00414 ';3.05
THE;'00415 ';1.52
THE;'00416 ';5.52
THE;'00417 ';3.05
THE;'00418 ';6.36
THE;'00419 ';4.47
THE;'00420 ';3.78
THE;'00421 ';5.52
THE;'00422 ';4.1
THE;'00423 ';3.26
THE;'00424 ';2.85
THE;'00425 ';4.1
THE;'00426 ';3.78
THE;'00427 ';5.52
THE;'00428 ';5.52
THE;'00429 ';2.85
THE;'00430 ';2.51
THE;'00431 ';3.05
THE;'00432 ';2.51
THE;'00433 ';4.1
THE;'00434 ';2.85
THE;'00435 ';3.05
THE;'00436 ';3.26
THE;'00437 ';3.51
THE;'00438 ';4.47
THE;'00439 ';5.52
THE;'00440 ';2.85
THE;'00441 ';1.84
THE;'00442 ';2.85
THE;'00443 ';3.78
THE;'00444 ';3.51
THE;'00445 ';2.51
THE;'00446 ';4.47
THE;'00447 ';2.21
THE;'00448 ';3.51
THE;'00449 ';5.52
THE;'00450 ';3.26
THE;'00451 ';2.35
THE;'00452 ';2.08
THE;'00453 ';1.33
THE;'00454 ';5.52
THE;'00455 ';6.36
THE;'00456 ';6.36
THE;'00457 ';4.1
THE;'00458 ';4.1
THE;'00459 ';4.47
THE;'00460 ';4.93
THE;'00461 ';4.93
THE;'00462 ';1.73
THE;'00463 ';1.16
THE;'00464 ';5.52
THE;'00465 ';1.43
THE;'00466 ';4.47
THE;'00467 ';3.26
THE;'00468 ';4.47
THE;'00469 ';2.85
THE;'00470 ';2.21
THE;'00471 ';4.47
THE;'00472 ';4.93
THE;'00473 ';4.47
THE;'00474 ';4.47
THE;'00475 ';4.1
THE;'00476 ';4.1
THE;'00477 ';6.36
THE;'00478 ';3.78
THE;'00479 ';3.78
THE;'00480 ';4.1
THE;'00481 ';2.51
THE;'00482 ';2.67
THE;'00483 ';2.51
THE;'00484 ';1.43
THE;'00485 ';2.51
THE;'00486 ';3.51
THE;'00487 ';4.47
THE;'00488 ';5.52
THE;'00489 ';4.93
THE;'00490 ';4.47
THE;'00491 ';3.51
THE;'00492 ';4.93
THE;'00494 ';3.26
THE;'00495 ';3.05
THE;'00496 ';2.67
THE;'00497 ';4.47
THE;'00498 ';1.96
THE;'00499 ';4.47
THE;'00500 ';4.1
THE;'00501 ';3.05
THE;'00502 ';2.51
THE;'00503 ';3.26
THE;'00504 ';3.05
THE;'00505 ';2.08
THE;'00506 ';4.93
THE;'00507 ';3.05
THE;'00508 ';2.51
THE;'00509 ';3.26
THE;'00510 ';3.26
THE;'00511 ';2.08
THE;'00513 ';4.1
THE;'00514 ';3.26
THE;'00515 ';2.08
THE;'00516 ';2.21
THE;'00517 ';2.85
THE;'00518 ';3.78
THE;'00519 ';3.78
THE;'00520 ';2.85
THE;'00521 ';1.84
THE;'00522 ';1.52
THE;'00523 ';4.1
THE;'00524 ';3.05
THE;'00525 ';3.78
THE;'00526 ';3.78
THE;'00527 ';3.78
THE;'00528 ';3.05
THE;'00529 ';1.62
THE;'00530 ';4.47
THE;'00531 ';2.35
THE;'00532 ';1.73
THE;'00533 ';3.26
THE;'00534 ';2.08
THE;'00535 ';2.51
THE;'00536 ';3.26
THE;'00537 ';4.1
THE;'00538 ';3.05
THE;'00539 ';3.78
THE;'00540 ';4.47
THE;'00541 ';2.85
THE;'00542 ';2.35
THE;'00543 ';4.47
THE;'00544 ';3.78
THE;'00545 ';3.05
THE;'00546 ';2.51
THE;'00547 ';4.47
THE;'00548 ';2.85
THE;'00549 ';3.05
THE;'00550 ';1.62
THE;'00552 ';1.62
THE;'00553 ';4.1
THE;'00554 ';3.05
THE;'00555 ';3.78
THE;'00556 ';4.93
THE;'00557 ';2.85
THE;'00559 ';1.43
THE;'00560 ';4.47
THE;'00561 ';6.36
THE;'00562 ';5.52
THE;'00563 ';0.53
THE;'00564 ';3.05
THE;'00565 ';2.35
THE;'00566 ';3.26
THE;'00567 ';1.33
THE;'00568 ';3.05
THE;'00569 ';3.51
THE;'00570 ';4.47
THE;'00571 ';3.26
THE;'00572 ';3.51
THE;'00573 ';2.85
THE;'00574 ';3.78
THE;'00575 ';3.78
THE;'00576 ';3.26
THE;'00577 ';2.51
THE;'00578 ';2.85
THE;'00579 ';5.52
THE;'00580 ';5.52
THE;'00581 ';4.47
THE;'00582 ';3.78
THE;'00583 ';3.26
THE;'00584 ';2.08
THE;'00585 ';2.21
THE;'00586 ';2.67
THE;'00587 ';4.1
THE;'00588 ';1.84
THE;'00589 ';3.51
THE;'00590 ';1.96
THE;'00591 ';4.1
THE;'00592 ';2.85
THE;'00593 ';2.85
THE;'00594 ';4.47
THE;'00596 ';3.78
THE;'00597 ';5.52
THE;'00598 ';5.52
THE;'00599 ';3.78
THE;'00600 ';4.47
THE;'00601 ';4.1
THE;'00602 ';3.51
THE;'00603 ';5.52
THE;'00604 ';4.47
THE;'00605 ';3.51
THE;'00606 ';4.47
THE;'00607 ';4.1
THE;'00608 ';3.26
THE;'00609 ';6.36
THE;'00610 ';2.85
THE;'00611 ';6.36
THE;'00612 ';2.67
THE;'00613 ';3.78
THE;'00614 ';6.36
THE;'00615 ';2.51
THE;'00616 ';2.85
THE;'00617 ';3.05
THE;'00618 ';4.93
THE;'00619 ';6.36
THE;'00621 ';3.26
THE;'00622 ';1.73
THE;'00623 ';4.1
THE;'00624 ';6.36
THE;'00625 ';3.05
THE;'00626 ';3.78
THE;'00627 ';2.85
THE;'00628 ';3.51
THE;'00629 ';4.93
THE;'00630 ';3.26
THE;'00631 ';2.85
THE;'00632 ';3.26
THE;'00633 ';2.35
THE;'00634 ';3.78
THE;'00635 ';3.26
THE;'00636 ';4.93
THE;'00637 ';3.78
THE;'00638 ';4.47
THE;'00639 ';2.67
THE;'00640 ';3.26
THE;'00641 ';3.05
THE;'00642 ';4.47
THE;'00643 ';1.43
THE;'00644 ';2.35
THE;'00645 ';2.51
THE;'00646 ';2.21
THE;'00647 ';2.67
THE;'00648 ';4.47
THE;'00649 ';4.1
THE;'00650 ';5.52
THE;'00651 ';4.93
THE;'00652 ';2.67
THE;'00653 ';1.84
THE;'00654 ';4.93
THE;'00655 ';3.26
THE;'00656 ';6.36
THE;'00658 ';1.96
THE;'00659 ';3.78
THE;'00660 ';2.35
THE;'00661 ';1.84
THE;'00662 ';4.47
THE;'00663 ';6.36
THE;'00664 ';2.85
THE;'00665 ';3.26
THE;'00666 ';6.36
THE;'00667 ';1.84
THE;'00668 ';4.47
THE;'00669 ';3.05
THE;'00670 ';3.78
THE;'00671 ';3.26
THE;'00672 ';5.52
THE;'00673 ';1.73
THE;'00674 ';2.51
THE;'00675 ';1.84
THE;'00676 ';1.73
THE;'00677 ';4.93
THE;'00678 ';4.93
THE;'00679 ';5.52
THE;'00680 ';3.05
THE;'00681 ';4.47
THE;'00682 ';4.47
THE;'00683 ';3.51
THE;'00684 ';4.47
THE;'00685 ';4.93
THE;'00686 ';2.08
THE;'00687 ';4.1
THE;'00688 ';3.05
THE;'00689 ';2.08
THE;'00690 ';4.47
THE;'00691 ';4.47
THE;'00692 ';5.52
THE;'00693 ';2.67
THE;'00694 ';2.21
THE;'00695 ';5.52
THE;'00696 ';3.26
THE;'00697 ';2.85
THE;'00698 ';4.47
THE;'00699 ';3.78
THE;'00701 ';4.1
THE;'00702 ';3.26
THE;'00703 ';2.85
THE;'00704 ';3.78
THE;'00705 ';3.78
THE;'00706 ';3.51
THE;'00707 ';4.47
THE;'00708 ';4.93
THE;'00709 ';2.67
THE;'00710 ';3.26
THE;'00711 ';2.85
THE;'00713 ';2.67
THE;'00714 ';3.05
THE;'00715 ';3.26
THE;'00716 ';2.51
THE;'00717 ';4.1
THE;'00718 ';4.93
THE;'00719 ';2.08
THE;'00720 ';6.36
THE;'00721 ';3.51
THE;'00722 ';4.93
THE;'00723 ';4.47
THE;'00724 ';6.36
THE;'00725 ';4.1
THE;'00726 ';2.67
THE;'00727 ';3.78
THE;'00728 ';4.93
THE;'00730 ';4.1
THE;'00731 ';3.05
THE;'00732 ';3.78
THE;'00733 ';3.05
THE;'00734 ';3.26
THE;'00736 ';4.47
THE;'00737 ';3.05
THE;'00738 ';2.85
THE;'00739 ';3.26
THE;'00740 ';2.35
THE;'00741 ';4.1
THE;'00742 ';1.73
THE;'00743 ';3.26
THE;'00744 ';2.08
THE;'00745 ';0.53
THE;'00746 ';1.25
THE;'00747 ';5.52
THE;'00748 ';1.84
THE;'00749 ';1.96
THE;'00750 ';3.78
THE;'00751 ';4.93
THE;'00752 ';3.26
THE;'00753 ';5.52
THE;'00754 ';2.35
THE;'00755 ';3.05
THE;'00756 ';5.52
THE;'00757 ';5.52
THE;'00758 ';4.47
THE;'00759 ';5.52
THE;'00760 ';3.26
THE;'00761 ';3.51
THE;'00762 ';3.05
THE;'00763 ';4.93
THE;'00764 ';5.52
THE;'00765 ';2.85
THE;'00766 ';2.67
THE;'00767 ';2.85
THE;'00768 ';5.52
THE;'00769 ';2.67
THE;'00770 ';4.47
THE;'00771 ';2.08
THE;'00772 ';5.52
THE;'00773 ';3.05
THE;'00774 ';4.47
THE;'00775 ';4.47
THE;'00776 ';1.62
THE;'00777 ';3.51
THE;'00778 ';2.51
THE;'00779 ';4.93
THE;'00780 ';5.52
THE;'00781 ';6.36
THE;'00782 ';2.67
THE;'00783 ';4.47
THE;'00784 ';3.51
THE;'00785 ';3.05
THE;'00786 ';2.35
THE;'00787 ';4.47
THE;'00788 ';3.51
THE;'00789 ';4.93
THE;'00790 ';3.78
THE;'00791 ';1.52
THE;'00792 ';2.08
THE;'00793 ';3.78
THE;'00794 ';1.96
THE;'00795 ';1.96
THE;'00796 ';3.51
THE;'00797 ';4.93
THE;'00798 ';2.51
THE;'00799 ';5.52
THE;'00800 ';4.1
THE;'00801 ';4.1
THE;'00802 ';6.36
THE;'00803 ';3.26
THE;'00804 ';3.05
THE;'00805 ';2.08
THE;'00806 ';4.47
THE;'00807 ';3.05
THE;'00808 ';6.36
THE;'00809 ';4.47
THE;'00810 ';3.78
THE;'00811 ';2.08
THE;'00812 ';2.21
THE;'00813 ';4.47
THE;'00814 ';4.1
THE;'00815 ';3.51
THE;'00816 ';3.78
THE;'00817 ';4.1
THE;'00818 ';2.08
THE;'00819 ';3.26
THE;'00820 ';4.47
THE;'00821 ';3.05
THE;'00822 ';3.26
THE;'00823 ';3.51
THE;'00824 ';4.47
THE;'00825 ';4.93
THE;'00826 ';4.93
THE;'00827 ';4.47
THE;'00828 ';6.36
THE;'00829 ';5.52
THE;'00830 ';4.47
THE;'00831 ';2.21
THE;'00832 ';4.1
THE;'00834 ';6.36
THE;'00835 ';2.85
THE;'00836 ';6.36
THE;'00837 ';4.47
THE;'00838 ';2.35
THE;'00840 ';1.52
THE;'00841 ';3.26
THE;'00842 ';3.05
THE;'00843 ';3.51
THE;'00844 ';2.51
THE;'00845 ';4.47
THE;'00846 ';3.26
THE;'00847 ';3.78
THE;'00848 ';4.1
THE;'00849 ';3.51
THE;'00850 ';5.52
THE;'00851 ';5.52
THE;'00852 ';3.51
THE;'00853 ';4.93
THE;'00854 ';3.26
THE;'00855 ';2.21
THE;'00856 ';1.84
THE;'00857 ';4.47
THE;'00858 ';1.84
THE;'00859 ';4.1
THE;'00860 ';1.52
THE;'00861 ';5.52
THE;'00862 ';3.78
THE;'00863 ';5.52
THE;'00864 ';3.05
THE;'00865 ';2.67
THE;'00866 ';2.08
THE;'00867 ';4.1
THE;'00868 ';3.05
THE;'00869 ';3.78
THE;'00870 ';4.47
THE;'00871 ';3.78
THE;'00872 ';2.85
THE;'00873 ';4.1
THE;'00874 ';3.26
THE;'00875 ';3.51
THE;'00876 ';3.26
THE;'00877 ';2.51
THE;'00878 ';4.1
THE;'00879 ';2.21
THE;'00880 ';2.85
THE;'00881 ';4.47
THE;'00882 ';4.1
THE;'00884 ';4.1
THE;'00885 ';3.26
THE;'00886 ';1.43
THE;'00887 ';4.1
THE;'00888 ';3.78
THE;'00889 ';3.78
THE;'00890 ';3.26
THE;'00891 ';2.67
THE;'00892 ';3.26
THE;'00895 ';2.08
THE;'00896 ';3.51
THE;'00897 ';4.47
THE;'00898 ';4.1
THE;'00899 ';3.78
THE;'00900 ';5.52
THE;'00901 ';1.84
THE;'00902 ';2.51
THE;'00903 ';2.08
THE;'00904 ';6.36
THE;'00905 ';3.51
THE;'00906 ';5.52
THE;'00907 ';5.52
THE;'00909 ';3.51
THE;'00910 ';4.47
THE;'00911 ';2.51
THE;'00912 ';3.05
THE;'00913 ';4.1
THE;'00914 ';4.93
THE;'00915 ';3.05
THE;'00916 ';4.1
THE;'00917 ';3.26
THE;'00918 ';6.36
THE;'00919 ';4.47
THE;'00920 ';3.78
THE;'00921 ';4.47
THE;'00922 ';2.08
THE;'00923 ';6.36
THE;'00924 ';4.47
THE;'00925 ';2.21
THE;'00926 ';3.78
THE;'00927 ';4.1
THE;'00928 ';4.47
THE;'00929 ';4.47
THE;'00930 ';3.51
THE;'00931 ';4.47
THE;'00933 ';4.93
THE;'00934 ';3.78
THE;'00935 ';5.52
THE;'00936 ';4.93
THE;'00937 ';3.78
THE;'00938 ';3.78
THE;'00940 ';6.36
THE;'00941 ';4.1
THE;'00942 ';4.93
THE;'00943 ';3.51
THE;'00944 ';3.26
THE;'00945 ';2.85
THE;'00946 ';3.78
THE;'00947 ';3.05
THE;'00948 ';6.36
THE;'00949 ';2.51
THE;'00950 ';2.35
THE;'00951 ';2.51
THE;'00952 ';4.93
THE;'00953 ';3.78
THE;'00954 ';2.51
THE;'00955 ';1.43
THE;'00956 ';2.35
THE;'00957 ';2.51
THE;'00958 ';5.52
THE;'00959 ';3.26
THE;'00960 ';2.67
THE;'00961 ';3.26
THE;'00962 ';2.85
THE;'00963 ';3.26
THE;'00964 ';2.85
THE;'00965 ';6.36
THE;'00966 ';4.1
THE;'00967 ';4.1
THE;'00968 ';1.73
THE;'00969 ';2.21
THE;'00970 ';4.1
THE;'00971 ';4.93
THE;'00972 ';4.1
THE;'00973 ';3.26
THE;'00975 ';2.67
THE;'00976 ';2.35
THE;'00977 ';4.47
THE;'00978 ';2.21
THE;'00979 ';4.1
THE;'00980 ';3.78
THE;'00981 ';2.67
THE;'00982 ';3.05
THE;'00983 ';4.1
THE;'00984 ';4.1
THE;'00985 ';1.96
THE;'00986 ';2.08
THE;'00987 ';2.51
THE;'00988 ';2.67
THE;'00989 ';1.62
THE;'00990 ';4.1
THE;'00991 ';4.1
THE;'00992 ';3.78
THE;'00993 ';3.05
THE;'00994 ';4.1
THE;'00995 ';4.1
THE;'00996 ';4.47
THE;'00997 ';4.47
THE;'00998 ';3.78
THE;'00999 ';3.05
THE;'01000 ';2.67
THE;'01001 ';3.78
THE;'01002 ';2.51
THE;'01003 ';2.51
THE;'01004 ';4.93
THE;'01005 ';3.51
THE;'01006 ';3.78
THE;'01008 ';4.1
THE;'01009 ';6.36
THE;'01010 ';5.52
THE;'01011 ';4.93
THE;'01012 ';3.78
THE;'01013 ';5.52
THE;'01014 ';3.05
THE;'01016 ';1.84
THE;'01017 ';4.47
THE;'01019 ';4.1
THE;'01020 ';4.1
THE;'01021 ';2.85
THE;'01022 ';3.26
THE;'01024 ';4.93
THE;'01025 ';5.52
THE;'01026 ';4.47
THE;'01027 ';4.1
THE;'01028 ';2.35
THE;'01029 ';2.21
THE;'01030 ';2.85
THE;'01031 ';3.05
THE;'01032 ';5.52
THE;'01033 ';2.85
THE;'01034 ';2.08
THE;'01035 ';3.51
THE;'01036 ';2.85
THE;'01037 ';4.1
THE;'01038 ';2.21
THE;'01039 ';3.78
THE;'01040 ';6.36
THE;'01041 ';2.67
THE;'01042 ';3.26
THE;'01043 ';1.52
THE;'01044 ';2.21
THE;'01045 ';4.47
THE;'01046 ';3.26
THE;'01047 ';3.78
THE;'01048 ';2.67
THE;'01049 ';4.47
THE;'01050 ';4.47
THE;'01051 ';4.93
THE;'01052 ';2.85
THE;'01053 ';3.78
THE;'01054 ';4.93
THE;'01055 ';3.05
THE;'01056 ';5.52
THE;'01057 ';4.47
THE;'01058 ';5.52
THE;'01059 ';3.78
THE;'01060 ';4.1
THE;'01061 ';6.36
THE;'01062 ';3.26
THE;'01063 ';5.52
THE;'01064 ';3.78
THE;'01065 ';3.51
THE;'01066 ';3.26
THE;'01067 ';1.62
THE;'01068 ';5.52
THE;'01070 ';3.05
THE;'01071 ';4.93
THE;'01072 ';4.93
THE;'01073 ';3.51
THE;'01074 ';3.26
THE;'01075 ';3.51
THE;'01076 ';3.26
THE;'01077 ';5.52
THE;'01078 ';3.51
THE;'01079 ';2.85
THE;'01081 ';5.52
THE;'01082 ';4.93
THE;'01083 ';1.96
THE;'01084 ';2.67
THE;'01085 ';4.47
THE;'01086 ';3.05
THE;'01087 ';3.51
THE;'01088 ';3.78
THE;'01090 ';4.47
THE;'01091 ';3.26
THE;'01092 ';2.85
THE;'01093 ';3.26
THE;'01094 ';5.52
THE;'01095 ';5.52
THE;'01096 ';3.26
THE;'01098 ';3.78
THE;'01099 ';2.67
THE;'01100 ';3.78
THE;'01101 ';6.36
THE;'01102 ';4.93
THE;'01103 ';2.67
THE;'01105 ';1.84
THE;'01106 ';3.78
THE;'01107 ';4.47
THE;'01108 ';3.05
THE;'01109 ';3.51
THE;'01110 ';4.47
THE;'01111 ';5.52
THE;'01112 ';4.1
THE;'01113 ';4.47
THE;'01114 ';3.51
THE;'01115 ';3.78
THE;'01116 ';2.85
THE;'01117 ';2.67
THE;'01118 ';4.1
THE;'01119 ';4.93
THE;'01120 ';0.72
THE;'01121 ';1.33
THE;'01122 ';3.51
THE;'01123 ';2.67
THE;'01124 ';4.1
THE;'01125 ';4.1
THE;'01127 ';4.1
THE;'01128 ';3.78
THE;'01129 ';4.93
THE;'01130 ';2.08
THE;'01131 ';4.1
THE;'01132 ';6.36
THE;'01133 ';5.52
THE;'01134 ';4.1
THE;'01135 ';3.26
THE;'01136 ';3.78
THE;'01137 ';4.93
THE;'01138 ';3.78
THE;'01139 ';1.52
THE;'01140 ';3.78
THE;'01141 ';4.93
THE;'01142 ';3.51
THE;'01143 ';2.85
THE;'01144 ';4.47
THE;'01145 ';4.47
THE;'01146 ';1.96
THE;'01147 ';4.47
THE;'01148 ';3.26
